薬価基準収載医薬品コード,品名,成分名,規格,メーカー名,薬価,後発医薬品最高価格,長期収載品と後発医薬品の価格差の２分の１,保険外併用療養費の算出に用いる価格,
2529708J2058,アデスタン腟錠３００ｍｇ,イソコナゾール硝酸塩,３００ｍｇ１個,バイエル薬品,163.30,139.40,11.95,151.35,
2529709H1046,オキナゾール腟錠１００ｍｇ,オキシコナゾール硝酸塩,１００ｍｇ１錠,田辺ファーマ,39.80,35.10,2.35,37.45,
2529709H2042,オキナゾール腟錠６００ｍｇ,オキシコナゾール硝酸塩,６００ｍｇ１錠,田辺ファーマ,261.40,232.60,14.40,247.00,
2612701Q1102,イソジンスクラブ液７．５％,ポビドンヨード,７．５％１０ｍＬ,ｉＮｏｖａ　Ｐｈａｒｍａｃｅｕｔｉｃａｌｓ　Ｊａｐａｎ,36.40,23.20,6.60,29.80,
2612701Q2109,イソジンゲル１０％,ポビドンヨード,１０％１０ｇ,ｉＮｏｖａ　Ｐｈａｒｍａｃｅｕｔｉｃａｌｓ　Ｊａｐａｎ,38.20,32.90,2.70,35.50,
2612701Q3318,イソジン液１０％,ポビドンヨード,１０％１０ｍＬ,ｉＮｏｖａ　Ｐｈａｒｍａｃｅｕｔｉｃａｌｓ　Ｊａｐａｎ,24.00,13.90,5.10,18.90,
2612701Q4055,イソジンフィールド液１０％,ポビドンヨード,１０％１０ｍＬ,ｉＮｏｖａ　Ｐｈａｒｍａｃｅｕｔｉｃａｌｓ　Ｊａｐａｎ,36.10,18.60,8.80,27.30,
2639700N1032,アクアチムクリーム１％,ナジフロキサシン,１％１ｇ,大塚製薬,18.50,17.00,0.75,17.75,
2639700Q1055,アクアチムローション１％,ナジフロキサシン,１％１ｍＬ,大塚製薬,18.50,17.00,0.75,17.75,
2646701M2156,リンデロン－Ｖ軟膏０．１２％,ベタメタゾン吉草酸エステル,０．１２％１ｇ,シオノギファーマ,14.30,8.00,3.15,11.15,
2646701M2180,ベトネベート軟膏０．１２％,ベタメタゾン吉草酸エステル,０．１２％１ｇ,グラクソ・スミスクライン,17.80,8.00,4.90,12.90,
2646701N2135,リンデロン－Ｖクリーム０．１２％,ベタメタゾン吉草酸エステル,０．１２％１ｇ,シオノギファーマ,14.30,6.30,4.00,10.30,
2646701N2160,ベトネベートクリーム０．１２％,ベタメタゾン吉草酸エステル,０．１２％１ｇ,グラクソ・スミスクライン,17.80,6.30,5.75,12.05,
2646701Q1038,リンデロン－Ｖローション,ベタメタゾン吉草酸エステル,０．１２％１ｍＬ,シオノギファーマ,14.30,8.00,3.15,11.15,
2646705M1107,レダコート軟膏０．１％,トリアムシノロンアセトニド,０．１％１ｇ,アルフレッサファーマ,14.60,3.70,5.45,9.15,
2646708M1216,トプシム軟膏０．０５％,フルオシノニド,０．０５％１ｇ,田辺ファーマ,10.80,10.20,0.30,10.50,
2646708N1238,トプシムＥクリーム０．０５％,フルオシノニド,０．０５％１ｇ,田辺ファーマ,10.80,10.20,0.30,10.50,
2646708N1246,トプシムクリーム０．０５％,フルオシノニド,０．０５％１ｇ,田辺ファーマ,10.80,10.20,0.30,10.50,
2646709M1121,フルコート軟膏０．０２５％,フルオシノロンアセトニド,０．０２５％１ｇ,田辺ファーマ,14.00,10.80,1.60,12.40,
2646726M1095,メサデルム軟膏０．１％,デキサメタゾンプロピオン酸エステル,０．１％１ｇ,岡山大鵬薬品,9.20,6.50,1.35,7.85,
2646726N1090,メサデルムクリーム０．１％,デキサメタゾンプロピオン酸エステル,０．１％１ｇ,岡山大鵬薬品,9.20,6.50,1.35,7.85,
2646726Q1046,メサデルムローション０．１％,デキサメタゾンプロピオン酸エステル,０．１％１ｇ,岡山大鵬薬品,9.20,6.50,1.35,7.85,
2649729S2169,モーラステープ２０ｍｇ,ケトプロフェン,７ｃｍ×１０ｃｍ１枚,久光製薬,18.10,18.00,0.05,18.05,
2649729S3084,モーラステープＬ４０ｍｇ,ケトプロフェン,１０ｃｍ×１４ｃｍ１枚,久光製薬,26.60,25.70,0.45,26.15,
2649729S5028,モーラスパップＸＲ１２０ｍｇ,ケトプロフェン,１０ｃｍ×１４ｃｍ１枚,久光製薬,27.30,18.20,4.55,22.75,
2649731Q1065,ナパゲルンローション３％,フェルビナク,３％１ｍＬ,帝國製薬,4.40,2.60,0.90,3.50,
2649734Q1050,ナボールゲル１％,ジクロフェナクナトリウム,１％１ｇ,久光製薬,5.30,3.10,1.10,4.20,
2649734Q1069,ボルタレンゲル１％,ジクロフェナクナトリウム,１％１ｇ,同仁医薬化工,3.20,3.10,0.05,3.15,
2649734Q2022,ボルタレンローション１％,ジクロフェナクナトリウム,１％１ｇ,同仁医薬化工,3.20,3.10,0.05,3.15,
2649950M1143,ヒルドイドゲル０．３％,ヘパリン類似物質,１ｇ,マルホ,10.30,7.80,1.25,9.05,
2655700N1176,エンペシドクリーム１％,クロトリマゾール,１％１ｇ,バイエル薬品,9.70,8.10,0.80,8.90,
2655708N1261,マイコスポールクリーム１％,ビホナゾール,１％１ｇ,バイエル薬品,12.80,10.90,0.95,11.85,
2655709N1053,ニゾラールクリーム２％,ケトコナゾール,２％１ｇ,帝國製薬,14.50,12.50,1.00,13.50,
2655712M1025,ルリコン軟膏１％,ルリコナゾール,１％１ｇ,サンファーマ,28.20,14.90,6.65,21.55,
2655712N1020,ルリコンクリーム１％,ルリコナゾール,１％１ｇ,サンファーマ,28.20,14.90,6.65,21.55,
2659710N1152,ラミシールクリーム１％,テルビナフィン塩酸塩,１％１ｇ,サンファーマ,15.80,10.80,2.50,13.30,
2659710Q1078,ラミシール外用液１％,テルビナフィン塩酸塩,１％１ｇ,サンファーマ,15.80,10.80,2.50,13.30,
2669701N1044,ウレパールクリーム１０％,尿素,１０％１ｇ,大塚製薬工場,4.00,2.90,0.55,3.45,
2669701N2040,パスタロンクリーム２０％,尿素,２０％１ｇ,佐藤製薬,4.30,3.30,0.50,3.80,
2669701N2067,ケラチナミンコーワクリーム２０％,尿素,２０％１ｇ,興和,4.10,3.30,0.40,3.70,
2691702M1036,オキサロール軟膏２５μｇ／ｇ,マキサカルシトール,０．００２５％１ｇ,マルホ,39.20,30.10,4.55,34.65,
2699709M1028,プロトピック軟膏０．１％,タクロリムス水和物,０．１％１ｇ,マルホ,47.00,31.10,7.95,39.05,
2699711Q1027,ディフェリンゲル０．１％,アダパレン,０．１％１ｇ,マルホ,40.10,21.20,9.45,30.65,
3339950M1137,ヒルドイドソフト軟膏０．３％,ヘパリン類似物質,１ｇ,マルホ,17.70,6.30,5.70,12.00,
3339950N1035,ヒルドイドクリーム０．３％,ヘパリン類似物質,１ｇ,マルホ,17.70,6.30,5.70,12.00,
3339950Q1074,ヒルドイドローション０．３％,ヘパリン類似物質,１ｇ,マルホ,17.70,6.30,5.70,12.00,
3339950R1177,ヒルドイドフォーム０．３％,ヘパリン類似物質,１ｇ,マルホ,18.20,10.90,3.65,14.55,
6250700M1189,アラセナ－Ａ軟膏３％,ビダラビン,３％１ｇ,持田製薬,104.70,69.80,17.45,87.25,
6250700N1036,アラセナ－Ａクリーム３％,ビダラビン,３％１ｇ,持田製薬,104.70,69.80,17.45,87.25,
6250701M1027,ゾビラックス軟膏５％,アシクロビル,５％１ｇ,グラクソ・スミスクライン,90.60,60.40,15.10,75.50,
6250701N1049,ゾビラックスクリーム５％,アシクロビル,５％１ｇ,グラクソ・スミスクライン,90.60,60.40,15.10,75.50,
6290702Q1029,クレナフィン爪外用液１０％,エフィナコナゾール,１０％１ｇ,科研製薬,1312.50,654.60,328.95,983.55,
8219700T1026,ワンデュロパッチ０．８４ｍｇ,フェンタニル,０．８４ｍｇ１枚,ヤンセンファーマ,444.70,253.80,95.45,349.25,
8219700T2022,ワンデュロパッチ１．７ｍｇ,フェンタニル,１．７ｍｇ１枚,ヤンセンファーマ,831.00,462.40,184.30,646.70,
8219700T3029,ワンデュロパッチ３．４ｍｇ,フェンタニル,３．４ｍｇ１枚,ヤンセンファーマ,1526.20,874.40,325.90,1200.30,
8219700T4025,ワンデュロパッチ５ｍｇ,フェンタニル,５ｍｇ１枚,ヤンセンファーマ,2136.40,1249.60,443.40,1693.00,
8219700T5021,ワンデュロパッチ６．７ｍｇ,フェンタニル,６．７ｍｇ１枚,ヤンセンファーマ,2927.1,1575.1,676.00,2251.10,
2760804M1024,ペリオクリン歯科用軟膏,ミノサイクリン塩酸塩,１０ｍｇ０．５ｇ１シリンジ,サンスター,501.4,491.9,4.75,496.65,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
